Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Student,,2,0,White,1,Bad symptoms/reactions,,Not sure,Not sure,Somewhat confident,Proof the vaccine works and does not cause terrible side effects,Evidence that the vaccine causes terrible side effects that negatively impact my health
Student,,2,0,White,,,3,,,,,
Staff,21,2,1,White,,,0,,,,,
Student,22,2,1,White,1,it has not been out long enough to know what side effects if any that there are.,,Do not trust at all,Not sure,Not sure,I am choosing not to take the vaccine due to unknown long/short term side effects. ,I am choosing not to take the vaccine due to unknown long/short term side effects. 
Staff,19,2,0,White,,,3,,,,,
Student,50,2,1,White,,,0,,,,,
Staff,21,2,1,White,,,0,,,,,
Student,,2,1,White,,,0,,,,,
Staff,20,2,1,Other,3,,0,Mostly trust,Mostly safe,Somewhat confident,"accessibility, communication",hard to access
Student,21,2,0,Other,,,3,,,,,
Student,18,2,1,White,1,"infertility, death",,Mostly trust,Mostly safe,Somewhat confident,nothing,probably my health conditions. 
Student,21,2,0,White,1,"People getting sick, people dying after getting the vaccine, not enough research and time to see if vaccine is safe and will actually work",,Do not trust at all,Not safe at all,Not at all confident,Nothing im not getting it,Location or transportation 
Student,18,3,0,White,3,,3,Completely trust,Very safe,Very confident,Ease of sign up,Location being far away
Student,,3,0,White,,,3,,,,,
Staff,43,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,To know for sure which group I fall under and when that window was without it being changed. ,"Not knowing my group for certain. Scheduling around classes, but I honestly would skip class to get the vaccine. "
Student,21,2,0,White,2,,3,Completely trust,Very safe,Very confident,receiving information via email,limited appointment slots
Student,21,1,0,White,1,"Multiple European Union nations have suspended Astrazeneca vaccinations due to a possible connection to blood clots. As someone who is obese, and has a high risk of blood clots, I will not be taking the Astrazeneca vaccine until the CDC and the European health officials who pressured the governments to suspend vaccination have completed their investigations.",,Mostly trust,Mostly safe,Somewhat confident,An email stating where I could get it and what the developer of that vaccine is (assuming the CDC hasn't cleared the Astrazeneca vaccine yet).,"If information about the developer was unavailable (assuming the CDC hasn't cleared the Astrazeneca vaccine yet), I would be reluctant to get it."
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,,2,0,White,,,3,,,,,
Staff,18,2,1,White,1,Just people unsure of effects,,Mostly trust,Mostly safe,Very confident,Lots of emails telling me information in order to get the vaccine.,Not enough information being spread about it
Student,31,1,0,White,1,Lack of research on pregnant or breastfeeding women,,Mostly trust,Mostly safe,Somewhat confident,"Easy, in-and-out delivery","Long wait, or crowded area"
Student,21,2,0,White,1,"The likelihood that this will effect my fertility when I decide to start a family, and the number of unexplained deaths of those in the US after receiving apart of the vaccination.",,Do not trust at all,Not safe at all,Not at all confident,"I would not get a vaccine that was developed in less than a year when don't know how this will affect those who did get it in the next five---my body, my choice.","The fact that it was developed in less than a year, the likelihood that it will effect my fertility, and the number of people who have had complications since receiving their vaccination."
Student,20,1,0,White,1,The VAERS on the cdc website and the fact that no vaccine has ever been produced this quickly with very little testing and previous mrna vaccines led to ADE which has a very high death rate. ,,Do not trust at all,Not sure,Not at all confident,An actual clinical trial that is not rushed. ,"VAERS on the cdc website, mRNA vaccines leading to ADE in the past. And finally for every clinical trial of the vaccine only about 100 people actually received the vaccine in each trial. "
Student,,1,0,White,,,3,,,,,
Student,21,1,0,White,1,,3,Do not trust at all,Not safe at all,Only slightly confident,,
Student,21,1,0,White,1,Right wing conspiracies ,,,,,,
Student,20,1,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,19,1,0,White,1,I have heard women say they are fearful because of the chance of infertility ,,Mostly trust,Mostly safe,,,
Student,18,1,0,White,2,,3,Mostly trust,Mostly safe,,,
Student,20,1,0,White,2,,3,,,,,
Student,20,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,,
Student,19,1,0,White,1,"Social media posts saying it'll make you sicker....I don't believe those, but some will.",,Mostly trust,Very safe,Somewhat confident,,
Student,18,1,0,White,1,"The unknown, infertility, etc.",,Somewhat trust,Not safe at all,Somewhat confident,,
Student,30,1,0,White,1,I just don't like how fast it was developed. ,,Do not trust at all,Not sure,,,
Student,22,1,0,White,1,,3,,,,,
Student,21,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,18,2,0,White,2,,3,,,,,
Student,,2,0,White,1,Side effects,,,Mostly safe,,,
Student,18,2,0,White,1,Personal stories from other people and news  ,,Mostly trust,Mostly safe,Somewhat confident,,
Student,,2,0,White,1,,3,,,,,
Student,,2,0,White,1,,3,,,,,
Student,20,2,0,White,3,,3,Somewhat trust,Mostly safe,Somewhat confident,,
Student,,2,0,White,1,fertility problems,,Not sure,Not safe at all,,,
Student,20,2,0,White,,,3,,,,,
Student,20,2,0,White,1,,3,,,,,
Student,26,2,0,White,,,3,,,,,
Student,20,2,0,White,3,,3,,,,,
Student,19,2,0,White,1,It was created quickly ,,Somewhat trust,Mostly safe,,,
Student,19,2,0,White,1,I am a woman worried about my reproductive system,,Somewhat trust,Not sure,Very confident,,
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,,2,0,White,,,3,,,,,
Student,19,2,0,White,1,,3,Somewhat trust,Mostly safe,,,
Student,19,2,0,White,,,3,,,,,
Student,19,2,0,White,2,,3,Not sure,Very safe,Very confident,,
Student,19,2,0,White,2,,3,Mostly trust,Very safe,,,
Student,28,2,0,White,,,3,,,,,
Student,18,2,0,White,1,,3,,,,,
Student,35,2,0,White,1,"Speed at which it was developed, potential side effects",,Somewhat trust,Not sure,Not sure,,
Staff,19,2,0,White,1,,3,,,,,
Student,21,2,0,White,2,,3,Completely trust,Very safe,Only slightly confident,,
Student,21,2,0,White,3,,3,Mostly trust,Very safe,Somewhat confident,,
Student,21,2,0,White,1,,3,,,,,
Student,19,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,18,2,0,White,1,Really my only gripe with the vaccine is that it was so rushed. The only reason i lean toward possibly getting it is becuause i know that its got a lot in common with other vaccines. Also not being able to go anywhere if i dont have the vaccine kinda makes me lean toward needing to take it if i want to study abroad.,,Somewhat trust,Mostly safe,,,
Student,19,2,0,White,3,,3,Somewhat trust,Mostly safe,Somewhat confident,,
Student,21,2,0,White,1,Bad side effects,,Somewhat trust,Not sure,,,
Student,,2,0,White,1,One of my friends said she knows a boy who had to be hospitalized,,,,,,
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,18,2,0,White,1,"Young people get some of Covid's side effects, and aren't at risk anyways.",,Do not trust at all,Mostly safe,Only slightly confident,,
Student,23,2,0,White,3,,3,,,,,
Student,21,2,0,White,1,The side effects. Rare blood disease being the most concerning.,,Not sure,Mostly safe,Only slightly confident,,
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,,
Student,,2,0,White,1,,3,,,,,
Student,20,2,0,White,1,"Lack of research and no vaccine has been approved, only authorized under the FDA Emergency Use Authorization ",,,,,,
Student,18,2,0,White,1,,3,,,,,
Student,,2,0,White,,,3,,,,,
Student,,2,1,White,3,,0,Not sure,Mostly safe,Not sure,,
Staff,21,2,0,White,3,,3,Completely trust,Mostly safe,Somewhat confident,,
Student,22,2,0,White,,,3,,,,,
Student,,2,0,White,1,getting sick,,Not sure,Not sure,Only slightly confident,,
Student,21,2,0,White,1,,3,,,,,
Student,18,2,0,White,1,,3,,,,,
Student,22,2,0,White,1,,3,,,,,
Student,18,2,0,White,3,,3,Somewhat trust,Not sure,,,
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,,
Student,,2,0,White,1,getting sick from the vaccine,,,,,,
Student,19,2,0,White,1,,3,,,,,
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Very confident,,
Student,,2,0,White,1,,3,Do not trust at all,Not sure,,,
Student,20,2,0,White,2,,3,Mostly trust,Very safe,,,
Student,27,2,0,White,2,,3,Somewhat trust,Not sure,,,
Student,21,2,0,White,2,,3,Completely trust,Very safe,,,
Student,29,2,0,White,1,Unknown long term effects,,Do not trust at all,Not sure,Not at all confident,,
Staff,19,2,0,White,2,,3,Somewhat trust,Mostly safe,Somewhat confident,,
Student,19,2,0,White,,,3,,,,,
Student,20,2,0,White,1,Possible complications with getting the vaccine; the amount of time it took for the vaccine to come out (very quick),,Mostly trust,Mostly safe,,,
Student,,2,0,White,,,3,,,,,
Student,21,2,0,White,1,Chips inserted in the vaccines. The vaccine can make you sick because it will give you covid.,,,,,,
Student,20,2,0,White,1,Infertility issues,,Completely trust,Very safe,Very confident,,
Student,19,2,0,White,,,3,,,,,
Student,,2,0,White,3,,3,Completely trust,Not sure,Very confident,,
Student,18,2,0,White,2,,3,Somewhat trust,Mostly safe,,,
Student,20,2,0,White,,,3,,,,,
Student,19,2,0,White,,,3,,,,,
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,,,
Student,,2,0,White,,,3,,,,,
Student,18,2,1,White,,,0,,,,,
Student,,2,1,White,,,0,,,,,
Student,19,1,1,"Hispanic or Latinx,White",2,,0,Completely trust,Very safe,Very confident,,
Student,19,1,0,"Hispanic or Latinx,White",,,3,,,,,
Student,19,1,1,White,2,,0,Mostly trust,Mostly safe,Very confident,Not sure ,General access to campus 
Student,18,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,how quick I could get it ,the wait to get it 
Student,21,2,0,White,1,Side effects of second dose,,Mostly trust,Very safe,Somewhat confident,"On campus distribution, free of charge","Off campus, costs money "
Student,,2,0,White,2,,3,Mostly trust,Very safe,Very confident,,
Student,19,2,0,White,1,side effects,,Do not trust at all,Not safe at all,Not at all confident,nothing,iâ€™m not getting it 
Student,21,1,0,White,2,,3,Completely trust,Very safe,Very confident,Flexible scheduling because of classes,Set time and date without regard for class and coursework 
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Very confident,If it was provided to me by the school.,If the wait times are very long and its difficult to plan an appointment.
Student,20,2,0,White,3,,3,Somewhat trust,Very safe,Very confident,The location and appointment to get the vaccince,Location. 
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,If itâ€™s easy to find,If I canâ€™t find the vaccine location 
Student,21,2,0,White,,,3,,,,,
Student,18,1,1,White,2,,0,Completely trust,Very safe,Very confident,Nothing,Long lines and a spike in cases
Student,20,3,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,21,2,0,White,1,side affects and negative reactions,,Mostly trust,Mostly safe,Somewhat confident,"sending out emails and notifying students, vaccination sites on campus, online",no open appointments
Student,18,1,0,White,3,,3,Do not trust at all,Not sure,Not sure,I donâ€™t want to get the vaccine,Well the fact that I donâ€™t want to get the vaccine may be an issue
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,,2,0,White,1,Makes you sick ,,Somewhat trust,Mostly safe,Very confident,piece of mind ,risk 
Student,22,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,21,1,0,White,1,"Different effacies, side effects of general malaise",,Mostly trust,Very safe,Very confident,Places on campus where it is available with set times to sign up for,Low availability or inflexible times to schedule
Student,19,2,0,White,1,,3,Do not trust at all,Not sure,Not at all confident,,
Student,67,2,0,White,,,3,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,21,1,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,Scheduling ,Last minute emergencies 
Student,20,1,0,White,,,3,,,,,
Student,19,1,1,White,,,0,,,,,
Student,20,1,1,White,,,0,,,,,
Student,,1,1,White,,,0,,,,,
Student,20,1,1,White,,,0,,,,,
Student,21,1,1,White,,,0,,,,,
Student,19,2,1,White,3,,0,Mostly trust,Mostly safe,Somewhat confident,Location on campus ,Location off campus 
Student,19,1,0,White,2,,3,Completely trust,Very safe,Very confident,Location ,Not having a car 
Student,19,1,0,White,3,,3,Somewhat trust,Mostly safe,Very confident,,
Student,,2,0,White,2,,3,Mostly trust,Very safe,Very confident,Make it available to on campus living where students are in close quarters like myself ,If it was in the middle of a school day and not scheduling 
Student,20,2,0,White,,,3,,,,,
Student,23,2,1,White,,,0,,,,,
Student,67,2,1,White,,,0,,,,,
Staff,18,1,1,White,2,,0,Somewhat trust,Very safe,Not at all confident,Nothing,Nothing
Student,21,1,0,White,2,,3,Completely trust,Very safe,Very confident,email AND text/phone communication,lack of online information
Student,19,2,0,White,1,People dying ,,Do not trust at all,Not safe at all,Not at all confident,Nothing ,Nothing 
Student,33,2,0,White,,,3,,,,,
Staff,44,2,1,White,,,0,,,,,
Staff,20,2,1,White,,,0,,,,,
Student,20,1,1,White,2,,0,Completely trust,Very safe,Very confident,"Nothing, Iâ€™d do it","Nothing, Iâ€™d get it"
Student,21,2,0,White,1,,3,Not sure,Not sure,Somewhat confident,,
Student,21,2,0,White,,,3,,,,,
Student,32,2,1,Black or African American,3,,0,Somewhat trust,Mostly safe,Very confident,If itâ€™s given during Monday-Wednesday ,If itâ€™s given Thursday-Saturday. I travel out of town on those days
Staff,19,1,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident,Offered on campus,Offered off campus
Student,,1,0,White,,,3,,,,,
Student,,1,1,White,,,0,,,,,
Staff,19 (almost 20),1,1,White,2,,0,Completely trust,Very safe,Somewhat confident,Having multiple dates and time windows during which I could take the vaccine would help the most.,I would want to take the vaccine on a day when I do not have many obligations the next day or two so I can make sure that I will not be sick when I need to go somewhere.
Student,63,1,0,White,,,3,,,,,
Staff,18,2,1,White,2,,0,Completely trust,Mostly safe,Very confident,,
Student,28,2,0,White,,,3,,,,,
Student,20,2,1,Biracial / Multiracial / Mixed,3,,0,Mostly trust,Mostly safe,Somewhat confident,Through the school for free,Making an appointment 
Student,20,2,0,Biracial / Multiracial / Mixed,,,3,,,,,
Student,18,2,1,Biracial / Multiracial / Mixed,1,,0,,,,,
Student,43,1,0,Black or African American,1,"Pace for approval, blot clots, Variants, unknowns, historical malpractice against humanity ",,Do not trust at all,Very safe,Not at all confident,,
Student,21,1,0,Black or African American,,,3,,,,,
Student,22,1,0,White,3,,3,Somewhat trust,Mostly safe,Somewhat confident,If it is the Pfizer vaccine ,If it is not the Pfizer
Student,20,1,0,White,,,3,,,,,
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,Giving me at least a days notice so I can plan accordingly ,If I have no time to prepare. 
Student,19,2,0,White,,,3,,,,,
Student,21,2,1,White,1,My mom is a nurse and Iâ€™ve heard about the adverse reactions ,,Do not trust at all,Not safe at all,Only slightly confident,,
Student,18,2,0,White,2,,3,Completely trust,Very safe,Very confident,A location that was easily accessible for me being on campus without a car ,It being off campus 
Student,,2,0,White,,,3,,,,,
Student,,2,1,White,,,0,,,,,
Staff,24,2,1,White,,,0,,,,,
Student,20,3,1,White,2,,0,Completely trust,Very safe,Very confident,"Easier acess to information regarding how to confirm an appointment as a high risk individual (Group 4), do I have to show medical records, to whom, in person or online, etc.",Lack of clear instructions how how to apply for it or get the vaccine
Student,21,1,0,White,1,"Just too sketchy for me, animal trials were completely skipped and itâ€™s pretty much completely unnecessary for someone my age to be vaccinated.",,Do not trust at all,Not safe at all,Not at all confident,I donâ€™t think I would get the vaccine.  I probably would never get it and if I do it would be in a long time.,
Student,19,1,0,White,,,3,,,,,
Student,20,2,1,Hispanic or Latinx,2,,0,Mostly trust,Very safe,Somewhat confident,If it was the Johnson & Johnson vaccine and I only needed one dose. ,If it was one of the vaccines that require multiple doses. 
Student,21,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Emails about when and where to sign up. ,Time/availability 
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,If the vaccine was close to my residence hall so I don't have to walk all the way across campus to get one.,The incredibly high demand for the vaccine = waiting in line for long periods of time to get one. 
Student,,2,0,White,,,3,,,,,
Staff,19,2,1,American Indian or Alaska Native,1,My mother got it and had horrible reactions and ended up in the hospital. When they released the trial information there where many people in my age range that have died from it. 20 year old nurse died from it a few months ago.  ,,Do not trust at all,Not safe at all,Not at all confident,Nothing I do not want it ,"Do not offer it, waste of my time "
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,A safe area for me to receive the vaccine and knowing that everything was sterile and sanitized and the people administering them knew what they were doing. ,Changes in appointments or having health services administer them because historically they haven't been the most competent. 
Student,,2,0,White,,,3,,,,,
Student,19,2,0,White,,,3,,,,,
Student,21,1,1,White,1,Use of aborted fetal cells in the Johnson vaccine.,,Mostly trust,Very safe,Very confident,Nothing ,If it was the Johnson vaccine 
Student,19,3,0,White,2,,3,Completely trust,Very safe,Somewhat confident,nothing,nothing
Student,,3,0,White,,,3,,,,,
Student,19,2,0,White,1,I have not but a friend of mine saw a speculators news articles regarding the intentions of the vaccine and itâ€™s origins.,,Mostly trust,Mostly safe,Very confident,Variable and flexible times and very safe conditions,Strict times and how high I am on the list of those that have access to the vaccine
Student,43,2,0,White,,,3,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,59,2,1,White,,,0,,,,,
Staff,,2,1,White,1,Not enough research ,,Do not trust at all,Not safe at all,Not at all confident,,
Staff,42,2,0,White,,,3,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,66,2,1,White,,,0,,,,,
Staff,20,2,1,White,,,0,,,,,
Student,,2,1,White,,,0,,,,,
Student,20,2,0,White,,,3,,,,,
Student,20,3,1,White,2,,0,Mostly trust,Mostly safe,Very confident,someone to help with appointment scheduling ,unavailability in my area
Student,25,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,N/A,N/A
Student,,1,0,White,1,"Side effects, efficacy of the vaccine, no data of long term side effects, not a cure for COVID or even prevention of the disease only lightens the side effects if you get the virus and have been vaccinated. ",,Not sure,Not sure,Only slightly confident,Data on the efficacy and safety,Data and efficacy 
Student,45,1,0,White,,,3,,,,,
Staff,21,1,1,White,2,,0,Completely trust,Very safe,Somewhat confident,Clear communication,Ambiguous websites or communication
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Easily accessible vaccination sites,Class schedule 
Student,,2,0,White,,,3,,,,,
Staff,18,2,1,White,,,0,,,,,
Student,,2,1,White,1,rashes and sickness,,Do not trust at all,Not safe at all,Not at all confident,,
Student,28,2,0,White,1,Many pseudo science explanations about it being a big â€œgene modification experimentâ€ however this does not give me hesitation it just has been sent to me by family members repeatedly  ,,Mostly trust,Very safe,Somewhat confident,Walk up or same day appointments ,Difficult location to get to
Student,20,2,0,White,,,3,,,,,
Student,20,1,1,White,1,The symptoms after the shot,,Somewhat trust,Mostly safe,Somewhat confident,,
Student,22,1,0,White,2,,3,Do not trust at all,Not safe at all,Not at all confident,"Nothing, itâ€™s wasted on college students. Give it to old people or those that really need it with health concerns","Nothing, would never get it"
Student,,1,0,White,2,,3,Completely trust,Mostly safe,Very confident,Easy access ,Wait time
Student,,1,0,White,,,3,,,,,
Staff,31,1,1,White,,,0,,,,,
Staff,21,2,1,White,1,fear of infertility in the future,,Mostly trust,Very safe,Somewhat confident,,
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,a convenient location on campus ,transportation 
Student,19,2,0,White,1,"side effects, feeling sick after the vaccine ",,Mostly trust,Very safe,Very confident,The location to get the vaccine would be on campus,if the location was far
Student,18,2,0,White,1,"That there is not enough research, itâ€™s constantly changing ",,Somewhat trust,Very safe,Somewhat confident,,
Student,56,2,0,White,,,3,,,,,
Staff,21,2,1,"American Indian or Alaska Native,White",1,I have seen people pass away after getting the shot.,,Do not trust at all,Not safe at all,Not at all confident,Im not getting the vaccine ,Im not getting the vaccine
Student,,2,0,"American Indian or Alaska Native,White",,,3,,,,,
Student,20,2,1,White,1,Potential Side Effects,,Mostly trust,Mostly safe,Somewhat confident,If the vaccination site was close to my apartment,if the vaccination site was a good distance away
Student,34,2,0,White,,,3,,,,,
Staff,19,2,1,Black or African American,2,,0,Mostly trust,Mostly safe,Very confident,Information,Knowing which company produced it
Student,20,2,0,Black or African American,,,3,,,,,
Student,19,2,1,White,2,,0,Completely trust,Very safe,Somewhat confident,Accessibility and ability to schedule ,Ability to schedule/class period
Student,,2,0,Biracial / Multiracial / Mixed,1,"Heavy side effects, deaths in the nursing homes and Europe",,Somewhat trust,Mostly safe,Not sure,To get a complete information on ingredients,Uncertainty 
Staff,23,2,0,Biracial / Multiracial / Mixed,,,3,,,,,
Student,,2,1,Biracial / Multiracial / Mixed,1,It makes you feel really bad and there can be negative outcomes.,,Somewhat trust,Mostly safe,Somewhat confident,,
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Very confident,Having it be close to me at my house so I do not have to drive to campus to get it. ,The location of the vaccine. 
Student,21,2,0,White,1,It is so newly developed.,,Somewhat trust,Not sure,,,
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,on campus vaccination site,vaccination site far away
Student,38,2,0,White,,,3,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,52,2,1,White,,,0,,,,,
Student,19,2,1,White,2,,0,Completely trust,Very safe,Very confident,"A notification of when, how, and where to get it",No communication of when it is available to me
Student,20,2,0,White,,,3,,,,,
Student,26,2,0,White,1,Multiple (healthy) people have died after getting the vaccine. ,,Do not trust at all,Not safe at all,,,
Student,,2,0,White,,,3,,,,,
Student,46,2,0,White,,,3,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,,2,0,White,3,,3,Do not trust at all,Not safe at all,,,
Staff,,2,0,White,2,,3,,,,,
Student,20,2,0,White,1,,3,,,,,
Student,,2,0,White,,,3,,,,,
Staff,,2,1,White,1,"Anti-Vaxxers, specifically Dr. Sherri Tenpenny",,Mostly trust,Not sure,,,
Student,19,2,0,White,1,That people with allergies cannot take the vaccine. Also the use of aborted fetus cells is used to create the vaccine.,,Do not trust at all,Not safe at all,,,
Student,21,2,0,White,1,just peopleâ€™s reactions to getting it,,Somewhat trust,Mostly safe,Somewhat confident,,
Student,19,1,0,White,3,,3,Mostly trust,Mostly safe,Only slightly confident,Iâ€™m not sure,School 
Student,,1,0,White,1,many articles and observations of friends and family members,,Do not trust at all,Mostly safe,Not sure,,
Staff,21,1,0,White,3,,3,,,,,
Student,19,1,0,White,1,That one part or ingredient of the vaccine is from aborted babies,,Mostly trust,Very safe,Somewhat confident,,
Student,47,1,0,White,,,3,,,,,
Staff,19,1,1,White,,,0,,,,,
Student,18 years,1,1,White,,,0,,,,,
Student,19,1,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,18,1,0,White,2,,3,Mostly trust,Mostly safe,,,
Student,19,6,0,White,1,Because it was approved as an emergency measure I don't think it's safe until the long term effects are understood,,Do not trust at all,Not sure,Somewhat confident,,
Student,19,6,0,White,2,,3,Mostly trust,Mostly safe,Not at all confident,,
Student,,2,0,White,3,,3,Mostly trust,Very safe,Very confident,,
Student,20,2,0,White,3,,3,Mostly trust,Mostly safe,Very confident,Many available locations,One location
Student,19,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,20,2,0,White,,,3,,,,,
Student,19,2,0,White,,,3,,,,,
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,On campus vaccination,Having to travel to get it
Student,19,2,0,White,1,,3,,,,,
Student,23,2,0,Hispanic or Latinx,1,The effectiveness level of some of those and the side effects that it had on certain individuals ,,Somewhat trust,Mostly safe,Very confident,"making sure that its effectiveness it is as high as the ones that already exists (for instance, by far Pfizer)",not being as effective in terms of percentage as the ones that are already available
Student,20,2,0,Hispanic or Latinx,,,3,,,,,
Student,,2,1,Hispanic or Latinx,,,0,,,,,
Student,20,2,1,Hispanic or Latinx,,,0,,,,,
Student,26,1,1,White,2,,0,Completely trust,Very safe,Very confident,Appointment times,Appointment times
Student,19,1,0,White,1,You get sick,,Not sure,Not safe at all,Not sure,Nothing,Nothing
Student,,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Having it on the weekend ,Having to drive to Boone to get the vaccine
Student,18,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,If it was within walking distance from my dorm on campus because I donâ€™t have car. ,If it was off campus and I couldnâ€™t get to it by walking / taking the bus
Student,18,2,0,White,1,infertility ,,Mostly trust,Mostly safe,Somewhat confident,availability ,long lines
Student,19,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,,
Student,18,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Easy access,Too long of a waiting period
Student,18,2,0,Hispanic or Latinx,2,,3,Completely trust,Mostly safe,Very confident,,
Student,,2,0,Hispanic or Latinx,,,3,,,,,
Student,19,1,1,Other,1,Many speculations surrounding the effects of the vaccine ,,Somewhat trust,Mostly safe,Only slightly confident,Blank,Blank
Student,22,1,0,White,2,,3,Completely trust,Very safe,Very confident,I have a car and a willingness to wait in lines.,Nothing
Student,18,2,0,White,1,Having fever or other harsh side effects from getting the vaccine as well as the shot being painful.,,Not sure,Not sure,Very confident,Knowing that I can protect the people around me as well as my family,Not knowing the side effects I will receive from it and my high anxiety whenever I get shots
Student,,1,0,White,1,..,,Somewhat trust,Not sure,Very confident,,
Student,20,1,0,White,1,I donâ€™t trust the vaccine. Iâ€™ve already had covid and believe that I have the antibodies,,Do not trust at all,Mostly safe,Not at all confident,,
Student,21,1,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Governor cooper needs to stop fucking around and let me be eligible,Idk like hail or some shit
Student,20,2,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident,Lots of available dates and times ,Not enough availability 
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Very confident,the location being close to where I live ,the location being far from where I live 
Student,21,2,0,White,,,3,,,,,
Student,18,1,1,White,2,,0,Completely trust,Very safe,Very confident,Location on campus,Location off campus
Student,21,1,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,18,2,0,White,1,Severe side effects. ,,Completely trust,Mostly safe,Very confident,Available test sites. ,Accessible to get it. 
Student,,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,,I don't think anything would. 
Student,21,2,0,White,3,,3,Completely trust,Mostly safe,Somewhat confident,n/a,n/a
Student,19,2,0,White,,,3,,,,,
Student,43,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Student,26,2,1,White,,,0,,,,,
Student,30,2,1,White,,,0,,,,,
Staff,68,2,1,White,,,0,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,57,2,0,White,,,3,,,,,
Staff,38,2,1,White,,,0,,,,,
Staff,20,2,1,White,,,0,,,,,
Student,19,2,1,White,1,Not FDA approved. We do not know the long term effects of this vaccine. ,,Somewhat trust,Not sure,Very confident,Knowing it wonâ€™t harm me in the long run. ,The potential for it to mess with my genetic make up. This is an mRNA vaccine with no longitudinal data. 
Student,19,2,0,White,1,Many medical YouTube videos and research ,,Do not trust at all,Not safe at all,Not at all confident,I wonâ€™t take it ,I wonâ€™t take it 
Student,19,2,0,Biracial / Multiracial / Mixed,1,Certain types can make you feel very sick but I would only get the Johnson and Johnson vaccine ,,Somewhat trust,Mostly safe,Somewhat confident,Having all the information on when and where ,Other people wanting to get it like me and then running out 
Student,,2,0,White,3,,3,Somewhat trust,Not sure,Somewhat confident,Lots of hours of availability.,Limited hours--difficult registration process.
Staff,21,2,0,White,,,3,,,,,
Student,21,2,1,White,1,People who have died from it ,,Do not trust at all,Not sure,Not at all confident,N/a,Unknown safety and long term effects of it 
Student,21,1,0,White,2,,3,Completely trust,Very safe,Very confident,Email/Text notification of my eligibility + where and when I can get vaccinated.,Pressure from family.
Student,20,1,0,White,,,3,,,,,
Student,21,1,1,White,,,0,,,,,
Student,18,1,1,White,3,,0,Mostly trust,Mostly safe,Very confident,For it to be on campus,Farther location
Student,19,1,0,White,,,3,,,,,
Student,18,1,1,White,,,0,,,,,
